X,Y
152.498,30.257
152.752,29.284
153.006,28.312
153.259,27.339
153.513,26.366
153.767,25.393
154.021,24.421
154.274,23.448
154.528,22.475
154.782,21.502
155.036,20.530
155.289,19.557
155.543,18.584
155.797,17.612
156.051,16.639
156.305,15.666
157.027,15.300
158.032,15.300
159.038,15.300
160.043,15.300
161.048,15.300
162.053,15.300
163.059,15.300
164.064,15.300
160.531,21.400
160.287,22.351
160.067,23.332
159.846,24.313
159.626,25.294
159.406,26.275
159.186,27.255
158.966,28.236
158.746,29.217
158.526,30.198
158.306,31.179
158.086,32.160
157.866,33.141
157.646,34.122
157.426,35.103
157.206,36.084
157.066,37.000
158.071,37.000
159.077,37.000
160.082,37.000
161.087,37.000
162.093,37.000
163.098,37.000
164.103,37.000
164.001,36.114
163.781,35.133
163.561,34.152
163.341,33.171
163.121,32.190
162.901,31.209
162.681,30.228
162.461,29.247
162.241,28.266
162.020,27.285
161.800,26.305
161.580,25.324
161.360,24.343
161.140,23.362
160.920,22.381
160.700,21.400
85.900,80.500
86.030,81.497
86.160,82.494
85.503,82.800
84.498,82.800
83.586,82.693
83.456,81.696
83.326,80.699
83.300,79.696
83.300,78.690
83.300,77.685
83.300,76.679
83.300,75.674
83.300,74.668
83.300,73.663
83.300,72.657
83.300,71.652
83.300,70.647
83.300,69.641
83.300,68.636
83.300,67.630
83.300,66.625
83.300,65.619
83.300,64.614
83.300,63.609
83.997,63.300
85.002,63.300
85.900,63.408
85.900,64.413
85.900,65.419
85.900,66.424
85.900,67.429
85.900,68.435
85.900,69.440
85.900,70.446
85.900,71.451
85.900,72.457
85.900,73.462
85.900,74.467
85.900,75.473
85.900,76.478
85.900,77.484
85.900,78.489
85.900,79.495
85.900,80.500
88.000,65.600
89.026,65.600
90.051,65.600
90.600,66.077
90.600,67.103
90.600,68.128
89.846,68.400
88.821,68.400
88.000,68.195
88.000,67.169
88.000,66.144
88.482,70.700
89.508,70.700
90.500,70.733
90.500,71.759
90.500,72.785
90.500,73.810
90.500,74.836
90.500,75.862
90.500,76.887
90.500,77.913
90.500,78.938
90.500,79.964
90.500,80.990
90.500,82.015
90.259,82.800
89.233,82.800
88.208,82.800
88.000,81.982
88.000,80.956
88.000,79.931
88.000,78.905
88.000,77.879
88.000,76.854
88.000,75.828
88.000,74.803
88.000,73.777
88.000,72.751
88.000,71.726
88.000,70.700
92.600,70.700
93.614,70.700
94.628,70.700
95.113,71.411
